command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force,total_base_salary,total_regular_hours,total_regular_paid,total_ot_hours,total_ot_paid,total_other_paid,total_total_paid,total_years_on_force
CITYWIDE COUNTERTERRORISM UNIT,13,159884.07692307694,2086.5384615384614,158992.92307692306,143.07692307692307,7290.153846153846,23326.153846153848,189609.23076923078,24.31874780470671,2078493,27125,2066908,1860,94772,303240,2464920,316.1437214611872
CIVILIAN HIRING UNIT,13,101375.30769230769,2080,100120.61538461539,277.38461538461536,17773.76923076923,15291.692307692309,133186.07692307694,15.85088689848964,1317879,27040,1301568,3606,231059,198792,1731419,206.0615296803653
CJB INVESTIGATIONS UNIT,5,119841,2080,119475.6,90.6,5762.2,19922.8,145160.6,19.923356164383563,599205,10400,597378,453,28811,99614,725803,99.61678082191781
CO RESPONSE UNIT,27,88857.62962962964,2080,88379.44444444444,68.18518518518519,2878.3333333333335,17378.444444444445,108636.22222222222,10.717148655504818,2399156,56160,2386245,1841,77715,469218,2933178,289.3630136986301
COD DOMESTIC VIOLENCE UNIT,16,104566.1875,2085.125,104078.375,187.5,13386.25,17070,134534.625,18.1853524543379,1673059,33362,1665254,3000,214180,273120,2152554,290.9656392694064
COD INVESTIGATION REVIEW SECTION,17,106937.82352941176,2084.9411764705883,106649.35294117648,389.05882352941177,19278.941176470587,18592.70588235294,144521,18.14109589041096,1817943,35444,1813039,6614,327742,316076,2456857,308.3986301369863
COD LIAISON UNIT,5,102483.4,2080,102158.2,324,20685.6,16845.6,139689.4,15.791301369863012,512417,10400,510791,1620,103428,84228,698447,78.95650684931506
COLD CASE SQUAD,13,106508.38461538461,2086.3846153846152,106422.53846153847,499.0769230769231,31892.69230769231,17779.846153846152,156095.07692307694,19.56700913242009,1384609,27123,1383493,6488,414605,231138,2029236,254.3711187214612
COMMUNICATIONS DIV,20,130170.7,2034.05,125087.75,297.45,16792.75,21320.25,163200.75,19.65882420091324,2603414,40681,2501755,5949,335855,426405,3264015,393.17648401826483
COMMUNITY AFFAIRS BUREAU,32,102121.875,2079.96875,99974.1875,329.40625,18196.6875,14313.78125,132484.65625,14.691848601598174,3267900,66559,3199174,10541,582294,458041,4239509,470.1391552511416
COMMUNITY OUTREACH DIVISION,39,93369.8717948718,2081.102564102564,90370.94871794872,254.35897435897436,14392.538461538461,15899.846153846154,120663.33333333333,14.111067205245286,3641425,81163,3524467,9920,561309,620094,4705870,550.3316210045662
COMPLIANCE DIVISION,11,107619.45454545454,2080,108468.72727272728,258,17256.363636363636,16575.545454545456,142300.63636363635,16.270319634703196,1183814,22880,1193156,2838,189820,182331,1565307,178.97351598173515
COMPSTAT ANALYTICAL UNIT,10,100872.7,2080,100063.2,391.2,21285.3,15525.6,136874.1,16.01214611872146,1008727,20800,1000632,3912,212853,155256,1368741,160.1214611872146
CONTRACT ADMIN PROCUREMENT DIVISION,3,90904.66666666667,2080,89808,95,5734.666666666667,14653.333333333334,110196,8.46761796042618,272714,6240,269424,285,17204,43960,330588,25.40285388127854
COUNTERTERRORISM BUREAU,12,131572.58333333334,2083.5833333333335,131766.83333333334,305.4166666666667,21545.5,16891.333333333332,170203.66666666666,18.02635083713851,1578871,25003,1581202,3665,258546,202696,2042444,216.3162100456621
COUNTERTERRORISM DIVISION,65,102441.47692307692,2082.9846153846156,102694.8,420.73846153846154,22892.4,19633.76923076923,145220.96923076923,18.95865472427117,6658696,135394,6675162,27348,1488006,1276195,9439363,1232.312557077626
COURT MONITORING UNIT 1 (MAN/BK/SI),18,101317.61111111111,2080,103610.61111111111,172.61111111111111,9882.777777777777,16772.666666666668,130266.05555555556,16.453500761035006,1823717,37440,1864991,3107,177890,301908,2344789,296.1630136986301
